OrderID,Time_Order_Placed,Time_Order_Delivered,Distance_km,Delivery_Time_Minutes,Avg_Speed_kmh,Region1,Region2,Weekday,Hour,Day,PaymentMethod,CourierType,Num_Items,Tip_Amount,Traffic_Level
OD5641095040,15:24:06,15:50:28.786221,3.343,26.3798,9.2445,서울특별시,마포구,5,15,22,Card,Bike,4,1.41,4
OD0277345011,16:38:02,16:59:00.238847,3.485,20.9706,23.5761,서울특별시,동작구,5,16,8,Cash,Bike,1,3.46,3
OD4917557307,05:57:37,06:11:21.305448,1.729,13.7384,16.7848,서울특별시,종로구,5,5,1,AppPay,Bike,3,3.52,2
OD5389201855,13:00:22,13:16:28.404800,3.669,16.1067,27.2761,경기도,용인시 수지구,6,13,30,AppPay,Car,3,2.94,2
OD1985308402,13:40:28,13:53:53.425886,3.222,13.4238,30.3559,서울특별시,강서구,4,13,14,AppPay,Car,4,3.64,3
OD4998236973,13:25:56,13:46:34.229355,3.212,20.6372,14.9927,서울특별시,구로구,0,13,24,Card,Bike,4,2.63,4
OD6378650779,20:33:30,20:42:13.983267,1.968,8.7331,21.2265,서울특별시,동작구,6,20,23,AppPay,Bike,2,1.37,2
OD4631628621,08:09:31,08:17:47.389612,3.11,8.2732,32.4364,서울특별시,중구,6,8,16,Cash,Scooter,5,6.15,1
OD8680585972,04:17:12,04:48:20.246599,6.733,31.1374,26.2712,서울특별시,용산구,1,4,18,AppPay,Scooter,4,1.46,2
OD2394990058,03:29:35,03:54:37.047054,4.701,25.0341,19.8482,경기도,시흥시,2,3,19,Cash,Bike,3,0.0,2
OD3300828994,20:57:05,21:09:37.703299,3.313,12.5451,18.314,경기도,성남시 분당구,4,20,7,Card,Bike,3,0.04,2
OD5433260636,09:42:00,09:55:11.399979,3.338,13.19,34.5961,서울특별시,성북구,0,9,3,AppPay,Car,3,1.21,2
OD3311620449,16:39:50,16:57:51.410784,5.093,18.0235,21.4369,서울특별시,중구,3,16,13,Cash,Car,3,3.0,2
OD2451672583,18:25:00,18:37:03.769125,0.5,12.0628,22.6093,서울특별시,구로구,1,18,4,Cash,Bike,1,0.53,3
OD2709961176,12:35:03,12:43:48.895433,1.457,8.7649,18.7661,경기도,성남시 중원구,0,12,10,Cash,Bike,3,1.16,3
OD2337418125,19:50:40,20:01:44.825600,1.89,11.0804,15.7766,서울특별시,영등포구,3,19,20,AppPay,Bike,3,4.27,2
OD1117836554,23:39:40,23:52:10.642102,3.254,12.5107,23.9284,서울특별시,강서구,3,23,27,Cash,Bike,3,0.45,1
OD1716356287,08:56:48,09:16:56.970896,6.448,20.1495,30.0856,서울특별시,송파구,0,8,17,AppPay,Scooter,3,0.11,3
OD5531736635,04:47:07,04:55:57.404257,2.583,8.8401,17.5309,인천광역시,미추홀구,4,4,14,AppPay,Bike,3,2.11,3
OD3781937414,15:10:12,15:25:56.554786,2.788,15.7426,31.4389,서울특별시,구로구,2,15,19,AppPay,Scooter,2,0.27,2
OD3144457292,04:33:36,05:02:28.360947,4.445,28.8727,17.1762,서울특별시,종로구,0,4,17,Card,Bike,2,1.18,3
OD8721128906,22:08:02,22:18:05.654234,1.135,10.0609,20.3032,경기도,안산시 상록구,3,22,20,Cash,Bike,5,2.84,4
OD4785130435,12:43:18,12:54:07.626107,1.74,10.8271,14.9586,서울특별시,동작구,1,12,25,Card,Car,4,1.41,3
OD8603956339,21:41:27,22:09:05.764195,5.236,27.6461,28.2115,서울특별시,서초구,2,21,26,AppPay,Scooter,3,0.0,3
OD2594751925,00:30:02,00:36:35.032725,0.875,6.5505,28.7365,경기도,안산시 단원구,6,0,23,Card,Scooter,3,0.43,4
OD1219407934,03:33:58,03:51:26.374977,1.712,17.4729,12.1776,서울특별시,마포구,1,3,18,Cash,Bike,4,0.6,3
OD4964164641,02:34:07,03:03:57.469954,4.315,29.8412,11.5535,경기도,평택시,1,2,4,AppPay,Bike,2,4.64,3
OD8537229126,19:37:19,19:47:36.432196,2.741,10.2905,22.9414,서울특별시,성동구,3,19,13,Cash,Bike,2,0.76,2
OD6808181799,22:38:13,22:55:19.147841,5.126,17.1025,31.0216,서울특별시,서초구,4,22,14,Card,Scooter,2,0.0,3
OD5001534924,00:51:22,01:13:56.634908,6.003,22.5772,26.6882,서울특별시,강남구,4,0,7,Cash,Bike,4,0.87,3
OD6839635993,13:38:54,14:09:36.758872,5.28,30.7126,11.4726,서울특별시,영등포구,0,13,17,AppPay,Bike,4,1.64,4
OD7463645804,00:35:34,00:49:01.644544,1.958,13.4607,31.2324,서울특별시,중구,1,0,4,Cash,Car,3,1.09,2
OD3805146494,11:00:14,11:27:06.546693,3.845,26.8758,18.2782,경기도,시흥시,3,11,13,Card,Bike,1,0.33,4
OD3478094089,03:42:08,04:00:43.620797,5.525,18.5937,20.744,서울특별시,구로구,4,3,7,Cash,Car,4,0.0,3
OD1208499000,02:32:39,02:48:26.132000,4.694,15.7855,19.1084,경기도,고양시 덕양구,3,2,13,AppPay,Bike,1,2.68,3
OD6124438527,09:44:02,10:03:14.446118,4.048,19.2074,29.1285,경기도,용인시 기흥구,3,9,20,Cash,Scooter,3,1.69,3
OD4196764782,02:57:14,03:21:23.192631,5.284,24.1532,24.56,인천광역시,미추홀구,2,2,12,Cash,Car,4,0.79,2
OD0169343696,18:15:04,18:36:10.867867,5.286,21.1145,25.4463,서울특별시,성동구,2,18,19,Card,Car,3,0.0,2
OD3101674228,09:38:56,09:43:20.501279,0.5,4.4084,20.3832,서울특별시,마포구,3,9,13,Cash,Bike,3,0.25,3
OD1417884663,19:54:35,20:10:25.954373,3.628,15.8492,16.252,경기도,김포시,2,19,5,AppPay,Bike,2,0.53,3
OD6075394311,18:49:00,19:07:55.971069,2.831,18.9329,16.5615,서울특별시,중구,5,18,22,Card,Bike,2,1.01,3
OD3736784511,12:42:49,12:54:52.158143,1.551,12.0526,26.742,경기도,광명시,5,12,22,Card,Car,4,1.4,3
OD8223900137,05:57:37,06:18:12.521845,4.791,20.592,30.8363,인천광역시,동구,4,5,28,AppPay,Scooter,3,0.72,2
OD0537205694,03:54:38,04:10:28.418121,1.942,15.8403,23.5414,인천광역시,연수구,1,3,18,Card,Bike,2,1.69,2
OD0142475495,23:36:06,23:48:43.915748,4.459,12.6319,22.3893,서울특별시,영등포구,1,23,11,Cash,Bike,4,0.0,3
OD5680760777,04:50:43,05:02:33.848463,0.913,11.8475,21.2423,경기도,용인시 기흥구,1,4,18,AppPay,Bike,4,1.11,3
OD2088819197,02:43:47,03:10:27.598125,4.092,26.6766,14.6104,서울특별시,성북구,1,2,11,Cash,Bike,6,0.0,5
OD7069686154,23:19:00,23:44:55.797085,4.764,25.93,16.0662,서울특별시,중구,0,23,10,AppPay,Bike,3,0.55,3
OD2855753210,03:13:30,03:22:51.057849,0.582,9.351,18.4844,서울특별시,관악구,6,3,2,AppPay,Bike,4,2.27,3
