OrderID,Num_Traffic_Lights
OD5641095040,11.0
OD0277345011,19.0
OD4917557307,10.0
OD5389201855,21.0
OD1985308402,11.0
OD4998236973,11.0
OD6378650779,18.0
OD4631628621,11.0
OD8680585972,22.0
OD2394990058,17.0
OD3300828994,18.0
OD5433260636,4.0
OD3311620449,5.0
OD2451672583,22.0
OD2709961176,9.0
OD2337418125,11.0
OD1117836554,5.0
OD1716356287,11.0
OD5531736635,14.0
OD3781937414,22.0
OD3144457292,22.0
OD8721128906,11.0
OD4785130435,17.0
OD8603956339,8.0
OD2594751925,10.0
OD1219407934,6.0
OD4964164641,14.0
OD8537229126,11.0
OD6808181799,19.0
OD5001534924,4.0
OD6839635993,12.0
OD7463645804,23.0
OD3805146494,6.0
OD3478094089,20.0
OD1208499000,7.0
OD6124438527,17.0
OD4196764782,23.0
OD0169343696,8.0
OD3101674228,15.0
OD1417884663,4.0
OD6075394311,10.0
OD3736784511,18.0
OD8223900137,9.0
OD0537205694,5.0
OD0142475495,14.0
OD5680760777,8.0
OD2088819197,14.0
OD7069686154,8.0
OD2855753210,20.0
OD8024212338,13.0
OD9601680663,8.0
OD8666533346,20.0
OD0729060016,19.0
OD3785148069,4.0
OD7762652444,18.0
OD2802786135,21.0
OD4911259625,12.0
OD8969574226,13.0
OD3207776481,16.0
OD4369543686,20.0
OD7738259321,6.0
OD0402288517,7.0
OD1428855153,15.0
OD0248645524,9.0
OD8048086345,16.0
OD6249463416,17.0
OD9602531940,18.0
OD7399547659,8.0
OD1635913281,13.0
OD7993970537,7.0
OD4840045219,11.0
OD5400929113,11.0
OD3496625693,4.0
OD0566566620,7.0
OD1109504789,23.0
OD6501968379,7.0
OD8165205150,11.0
OD0711409427,20.0
OD6464417257,8.0
OD3937003623,12.0
OD1464646301,11.0
OD6670042272,21.0
OD1768830456,12.0
OD8374278530,19.0
OD2863913629,8.0
OD5937310442,9.0
OD6290849954,7.0
OD9646591195,18.0
OD0390076188,7.0
OD4689428338,10.0
OD5352428906,7.0
OD2044206618,7.0
OD4056457547,10.0
OD3060863759,15.0
OD2157699678,14.0
OD1194989606,18.0
OD0416398878,12.0
OD6354270999,15.0
OD5380402126,10.0
OD0170592071,14.0
OD5829339142,10.0
OD2652364139,6.0
OD0042380218,17.0
OD7881893715,21.0
OD6124109433,15.0
OD0610035174,15.0
OD1831079444,6.0
OD1355923351,7.0
OD1050401801,4.0
OD6774743017,5.0
OD7880708417,23.0
OD1711538141,10.0
OD9121744933,14.0
OD1164529284,18.0
OD8027933798,7.0
OD2239798952,4.0
OD1524151824,6.0
OD5929166040,9.0
OD5981179259,12.0
OD4548332930,4.0
OD1892572231,14.0
OD1050107570,18.0
OD8449226381,7.0
OD6379685696,21.0
OD7786905554,23.0
OD0242825747,13.0
OD3913473416,20.0
OD9423032040,6.0
OD8236816824,7.0
OD1927320967,22.0
OD6667022629,19.0
OD4725477546,10.0
OD4402905938,22.0
OD0281346947,23.0
OD4832226465,15.0
OD3186644610,8.0
OD1634269045,23.0
OD2053925488,15.0
OD4057290062,9.0
OD7927161806,20.0
OD5185209888,13.0
OD6917829674,8.0
OD2738994249,20.0
OD9929585681,18.0
OD4792316685,5.0
OD6719889823,7.0
OD5502919911,12.0
OD2842843141,17.0
OD6852005322,15.0
OD5758855158,15.0
OD8530438665,17.0
OD3617149581,15.0
OD8916399592,20.0
OD7942361318,19.0
OD8213743136,9.0
OD0728719894,5.0
OD4504139988,8.0
OD4786413740,10.0
OD6612482097,9.0
OD8829026657,15.0
OD0592549429,18.0
OD9988877510,5.0
OD8933800504,19.0
OD1775519015,22.0
OD5763287359,23.0
OD1078315866,16.0
OD9788666209,
OD5287770972,13.0
OD8837234997,11.0
OD2383539071,9.0
OD6118940089,8.0
OD0499420941,14.0
OD4716389035,14.0
OD1092547896,20.0
OD0307385528,17.0
OD5203103493,11.0
OD7935305366,22.0
OD7578707096,21.0
OD0514598739,13.0
OD5278167991,19.0
OD2557647244,15.0
