product_name,metric_type,period,value,unit,description,source_title,source_url,source_date
덴마크 하이그릭요거트 400g,매출액(누적),출시 1년(~2025-06),200,억원,프리미엄 유가공 브랜드 '덴마크 하이(Hej!)' 론칭 1년 만에 누적 매출 200억원 돌파 (브랜드 범주),"동원F&B '덴마크 하이', 론칭 1년만 누적 매출 200억원 돌파",https://news.nate.com/view/20250626n13223,2025-06-26
덴마크 하이그릭요거트 400g,브랜드 목표,2025년,1000,억원,'덴마크 하이' 연매출 1000억 메가 브랜드 목표,"동원F&B, '덴마크 하이' 연매출 1000억 메가 브랜드로",https://news.nate.com/view/20250326n30340,2025-03-26
동원맛참 고소참기름 135g,매출 성장,2024년 (vs 2023년 출시 첫해),약 3배,,출시 첫해(2023) 대비 2024년 매출 약 3배 성장(브랜드 범주),"동원맛참 매출, 출시 첫해 대비 3배 성장",https://www.sisaon.co.kr/news/articleView.html?idxno=169537,2025-03-28
동원맛참 고소참기름 90g,매출 성장,2024년 (vs 2023년 출시 첫해),약 3배,,출시 첫해(2023) 대비 2024년 매출 약 3배 성장(브랜드 범주),"동원맛참 매출, 출시 첫해 대비 3배 성장",https://www.sisaon.co.kr/news/articleView.html?idxno=169537,2025-03-28
동원맛참 매콤참기름 135g,매출 성장,2024년 (vs 2023년 출시 첫해),약 3배,,출시 첫해(2023) 대비 2024년 매출 약 3배 성장(브랜드 범주),"동원맛참 매출, 출시 첫해 대비 3배 성장",https://www.sisaon.co.kr/news/articleView.html?idxno=169537,2025-03-28
동원맛참 매콤참기름 90g,매출 성장,2024년 (vs 2023년 출시 첫해),약 3배,,출시 첫해(2023) 대비 2024년 매출 약 3배 성장(브랜드 범주),"동원맛참 매출, 출시 첫해 대비 3배 성장",https://www.sisaon.co.kr/news/articleView.html?idxno=169537,2025-03-28
동원참치액 순 500g,시장규모(소매),2023년,약 530,억원,국내 참치액 소매시장 규모(닐슨아이큐코리아 인용),'동원참치액' 3종 출시 보도자료(닐슨 데이터 인용),https://media.dongwon.com/post/1867,2024-04-08
동원참치액 순 500g,시장 성장,2019→2021→2023,125→255→527,억원,국내 참치액 시장 성장 경로,매일 들어오는 참치 170t… 참치액 시장 급성장,https://economychosun.com/site/data/html_dir/2024/05/24/2024052400027.html,2024-05-27
동원참치액 순 500g,브랜드 매출 성장,2024년,전년 대비 50%+,,'동원 참치액' 2024년 매출 50% 이상 증가,한 숟갈 가루로 셰프가… '동원 참치다시' 기사 내 언급,https://www.hankyung.com/article/2025021296551,2025-02-12
동원참치액 순 900g,시장규모(소매),2023년,약 530,억원,국내 참치액 소매시장 규모(닐슨아이큐코리아 인용),'동원참치액' 3종 출시 보도자료(닐슨 데이터 인용),https://media.dongwon.com/post/1867,2024-04-08
동원참치액 순 900g,시장 성장,2019→2021→2023,125→255→527,억원,국내 참치액 시장 성장 경로,매일 들어오는 참치 170t… 참치액 시장 급성장,https://economychosun.com/site/data/html_dir/2024/05/24/2024052400027.html,2024-05-27
동원참치액 순 900g,브랜드 매출 성장,2024년,전년 대비 50%+,,'동원 참치액' 2024년 매출 50% 이상 증가,한 숟갈 가루로 셰프가… '동원 참치다시' 기사 내 언급,https://www.hankyung.com/article/2025021296551,2025-02-12
동원참치액 진 500g,시장규모(소매),2023년,약 530,억원,국내 참치액 소매시장 규모(닐슨아이큐코리아 인용),'동원참치액' 3종 출시 보도자료(닐슨 데이터 인용),https://media.dongwon.com/post/1867,2024-04-08
동원참치액 진 500g,시장 성장,2019→2021→2023,125→255→527,억원,국내 참치액 시장 성장 경로,매일 들어오는 참치 170t… 참치액 시장 급성장,https://economychosun.com/site/data/html_dir/2024/05/24/2024052400027.html,2024-05-27
동원참치액 진 500g,브랜드 매출 성장,2024년,전년 대비 50%+,,'동원 참치액' 2024년 매출 50% 이상 증가,한 숟갈 가루로 셰프가… '동원 참치다시' 기사 내 언급,https://www.hankyung.com/article/2025021296551,2025-02-12
동원참치액 진 900g,시장규모(소매),2023년,약 530,억원,국내 참치액 소매시장 규모(닐슨아이큐코리아 인용),'동원참치액' 3종 출시 보도자료(닐슨 데이터 인용),https://media.dongwon.com/post/1867,2024-04-08
동원참치액 진 900g,시장 성장,2019→2021→2023,125→255→527,억원,국내 참치액 시장 성장 경로,매일 들어오는 참치 170t… 참치액 시장 급성장,https://economychosun.com/site/data/html_dir/2024/05/24/2024052400027.html,2024-05-27
동원참치액 진 900g,브랜드 매출 성장,2024년,전년 대비 50%+,,'동원 참치액' 2024년 매출 50% 이상 증가,한 숟갈 가루로 셰프가… '동원 참치다시' 기사 내 언급,https://www.hankyung.com/article/2025021296551,2025-02-12
