product_name,month_index,baseline_units,lift_median,final_units
덴마크 하이그릭요거트 400g,1,85307,1.05,89572
덴마크 하이그릭요거트 400g,2,88467,1.055,93333
덴마크 하이그릭요거트 400g,3,68341,1.02,69708
덴마크 하이그릭요거트 400g,4,61927,1.0,61927
덴마크 하이그릭요거트 400g,5,61927,1.0,61927
덴마크 하이그릭요거트 400g,6,60663,1.025,62180
덴마크 하이그릭요거트 400g,7,60031,1.04,62432
덴마크 하이그릭요거트 400g,8,60031,1.0,60031
덴마크 하이그릭요거트 400g,9,58135,1.0,58135
덴마크 하이그릭요거트 400g,10,58135,1.0,58135
덴마크 하이그릭요거트 400g,11,56872,1.0,56872
덴마크 하이그릭요거트 400g,12,56872,1.0,56872
동원맛참 고소참기름 135g,1,111534,1.0,111534
동원맛참 고소참기름 135g,2,102611,1.025,105176
동원맛참 고소참기름 135g,3,127148,1.02,129691
동원맛참 고소참기름 135g,4,92350,1.0,92350
동원맛참 고소참기름 135g,5,80304,1.0,80304
동원맛참 고소참기름 135g,6,78520,1.0,78520
동원맛참 고소참기름 135g,7,109927,1.04,114324
동원맛참 고소참기름 135g,8,106180,1.0,106180
동원맛참 고소참기름 135g,9,75843,1.0,75843
동원맛참 고소참기름 135g,10,75843,1.0,75843
동원맛참 고소참기름 135g,11,75843,1.0,75843
동원맛참 고소참기름 135g,12,75843,1.0,75843
동원맛참 고소참기름 90g,1,91667,1.0,91667
동원맛참 고소참기름 90g,2,84333,1.05,88550
동원맛참 고소참기름 90g,3,104500,1.0,104500
동원맛참 고소참기름 90g,4,75900,1.0,75900
동원맛참 고소참기름 90g,5,66000,1.05,69300
동원맛참 고소참기름 90g,6,64533,1.0,64533
동원맛참 고소참기름 90g,7,90347,1.0,90347
동원맛참 고소참기름 90g,8,87267,1.0,87267
동원맛참 고소참기름 90g,9,62333,1.0,62333
동원맛참 고소참기름 90g,10,62333,1.0,62333
동원맛참 고소참기름 90g,11,62333,1.025,63891
동원맛참 고소참기름 90g,12,62333,1.0,62333
동원맛참 매콤참기름 135g,1,111534,1.0,111534
동원맛참 매콤참기름 135g,2,102611,1.05,107742
동원맛참 매콤참기름 135g,3,127148,1.065,135413
동원맛참 매콤참기름 135g,4,92350,1.0,92350
동원맛참 매콤참기름 135g,5,80304,1.0,80304
동원맛참 매콤참기름 135g,6,78520,1.0,78520
동원맛참 매콤참기름 135g,7,109927,1.0,109927
동원맛참 매콤참기름 135g,8,106180,1.025,108834
동원맛참 매콤참기름 135g,9,75843,1.0,75843
동원맛참 매콤참기름 135g,10,75843,1.0,75843
동원맛참 매콤참기름 135g,11,75843,1.0,75843
동원맛참 매콤참기름 135g,12,75843,1.01,76601
동원맛참 매콤참기름 90g,1,87060,1.0,87060
동원맛참 매콤참기름 90g,2,80095,1.0,80095
동원맛참 매콤참기름 90g,3,99248,1.0,99248
동원맛참 매콤참기름 90g,4,72086,1.0,72086
동원맛참 매콤참기름 90g,5,62683,1.025,64250
동원맛참 매콤참기름 90g,6,61290,1.025,62822
동원맛참 매콤참기름 90g,7,85806,1.025,87951
동원맛참 매콤참기름 90g,8,82881,1.0,82881
동원맛참 매콤참기름 90g,9,59201,1.0,59201
동원맛참 매콤참기름 90g,10,59201,1.0,59201
동원맛참 매콤참기름 90g,11,59201,1.0,59201
동원맛참 매콤참기름 90g,12,59201,1.0,59201
동원참치액 순 500g,1,10815,1.0,10815
동원참치액 순 500g,2,11588,1.0,11588
동원참치액 순 500g,3,13905,1.0,13905
동원참치액 순 500g,4,11919,1.005,11979
동원참치액 순 500g,5,10815,1.0,10815
동원참치액 순 500g,6,10815,1.0,10815
동원참치액 순 500g,7,12057,1.05,12660
동원참치액 순 500g,8,10484,1.0,10484
동원참치액 순 500g,9,10153,1.025,10407
동원참치액 순 500g,10,10153,1.0,10153
동원참치액 순 500g,11,9932,1.0,9932
동원참치액 순 500g,12,9932,1.0,9932
동원참치액 순 900g,1,5302,1.0,5302
동원참치액 순 900g,2,5680,1.0,5680
동원참치액 순 900g,3,6817,1.0,6817
동원참치액 순 900g,4,5843,1.0,5843
동원참치액 순 900g,5,5302,1.1,5832
동원참치액 순 900g,6,5302,1.075,5700
동원참치액 순 900g,7,5910,1.0,5910
동원참치액 순 900g,8,5140,1.0,5140
동원참치액 순 900g,9,4977,1.0,4977
동원참치액 순 900g,10,4977,1.0,4977
동원참치액 순 900g,11,4869,1.0,4869
동원참치액 순 900g,12,4869,1.0,4869
동원참치액 진 500g,1,10815,1.0,10815
동원참치액 진 500g,2,11588,1.0,11588
동원참치액 진 500g,3,13905,1.0,13905
동원참치액 진 500g,4,11919,1.025,12217
동원참치액 진 500g,5,10815,1.025,11085
동원참치액 진 500g,6,10815,1.025,11085
동원참치액 진 500g,7,12057,1.025,12358
동원참치액 진 500g,8,10484,1.0,10484
동원참치액 진 500g,9,10153,1.0,10153
동원참치액 진 500g,10,10153,1.0,10153
동원참치액 진 500g,11,9932,1.0,9932
동원참치액 진 500g,12,9932,1.0,9932
동원참치액 진 900g,1,5302,1.0,5302
동원참치액 진 900g,2,5680,1.0,5680
동원참치액 진 900g,3,6817,1.0,6817
동원참치액 진 900g,4,5843,1.0,5843
동원참치액 진 900g,5,5302,1.025,5435
동원참치액 진 900g,6,5302,1.05,5567
동원참치액 진 900g,7,5910,1.025,6058
동원참치액 진 900g,8,5140,1.0,5140
동원참치액 진 900g,9,4977,1.0,4977
동원참치액 진 900g,10,4977,1.025,5101
동원참치액 진 900g,11,4869,1.0,4869
동원참치액 진 900g,12,4869,1.0,4869
리챔 오믈레햄 200g,1,25642,1.0,25642
리챔 오믈레햄 200g,2,29061,1.0,29061
리챔 오믈레햄 200g,3,48719,1.0,48719
리챔 오믈레햄 200g,4,37608,1.0,37608
리챔 오믈레햄 200g,5,34189,1.0,34189
리챔 오믈레햄 200g,6,33505,1.0,33505
리챔 오믈레햄 200g,7,45232,1.0,45232
리챔 오믈레햄 200g,8,45232,1.0,45232
리챔 오믈레햄 200g,9,32480,1.025,33292
리챔 오믈레햄 200g,10,31454,1.0,31454
리챔 오믈레햄 200g,11,30770,1.0,30770
리챔 오믈레햄 200g,12,30770,1.0,30770
리챔 오믈레햄 340g,1,10073,1.0,10073
리챔 오믈레햄 340g,2,11416,1.025,11701
리챔 오믈레햄 340g,3,19139,1.01,19330
리챔 오믈레햄 340g,4,14774,1.0,14774
리챔 오믈레햄 340g,5,13431,1.0,13431
리챔 오믈레햄 340g,6,13162,1.0,13162
리챔 오믈레햄 340g,7,17769,1.0,17769
리챔 오믈레햄 340g,8,17769,1.05,18657
리챔 오믈레햄 340g,9,12759,1.04,13269
리챔 오믈레햄 340g,10,12357,1.0,12357
리챔 오믈레햄 340g,11,12088,1.0,12088
리챔 오믈레햄 340g,12,12088,1.0,12088
소화가 잘되는 우유로 만든 바닐라라떼 250mL,1,87588,1.0,87588
소화가 잘되는 우유로 만든 바닐라라떼 250mL,2,97453,1.0,97453
소화가 잘되는 우유로 만든 바닐라라떼 250mL,3,83016,1.0,83016
소화가 잘되는 우유로 만든 바닐라라떼 250mL,4,68750,1.0,68750
소화가 잘되는 우유로 만든 바닐라라떼 250mL,5,67375,1.0,67375
소화가 잘되는 우유로 만든 바닐라라떼 250mL,6,67375,1.0,67375
소화가 잘되는 우유로 만든 바닐라라떼 250mL,7,65313,1.025,66946
소화가 잘되는 우유로 만든 바닐라라떼 250mL,8,65313,1.0,65313
소화가 잘되는 우유로 만든 바닐라라떼 250mL,9,63250,1.025,64831
