변수명,Label
gu,A
,B
list,  1) 기존 가구
,  2) 신규 가구
List_시,  1) 서울
,  2) 부산
,  3) 인천
,  4) 대구
,  5) 대전
,  6) 광주
,  7) 울산
,  8) 경기
,  9) 경북
, 10) 경남
, 11) 전북
, 12) 전남
, 13) 충북
, 14) 충남
, 15) 강원
, 16) 제주
, 17) 세종
List_읍면동,  1) 동
,  2) 읍/면
SQ2,  1) 집에서 먹는 식품의 대부분을 내가 직접 구입한다
,  2) 집에서 먹는 식품의 대부분을 구입하는 가구원이 따로 있다
A1,  1) 매일 1회 이상
,  2) 주 4~6회
,  3) 주 2~3회
,  4) 주 1회
,  5) 2주일에 1회
,  6) 1달에 1회
,  7) 그보다 드물게
,  8) 구입하지 않음
A2_1,  1) 가격
,  2) 맛
,  3) 안전성
,  4) 품질
,  5) 영양(건강)
,"  6) 신선도 (제조일자, 소비(유통)기한 포함)"
,  7) 구입의 편리성
,  8) 조리의 편리성
A2_2,  1) 가격
,  2) 맛
,  3) 안전성
,  4) 품질
,  5) 영양(건강)
,"  6) 신선도 (제조일자, 소비(유통)기한 포함)"
,  7) 구입의 편리성
,  8) 조리의 편리성
A3_1,"  1) 동네 슈퍼마켓, 식자재마트(대기업 운영 제외)"
,"  2) 대기업에서 운영하는 슈퍼마켓(홈플러스 익스프레스, 롯데 슈퍼, 이마트에브리데이, No Brand 등)"
,"  3) 오프라인 대형마트(이마트, 하나로클럽/마트, 홈플러스, 롯데마트, 이마트 트레이더스, 코스트코 등)"
,  4) 전통시장(재래시장)
,  5) 백화점
,"  6) 친환경 식품 전문점(생협, 유기농 전문점, 초록마을, 한살림 등)"
,"  7) 온라인 쇼핑몰(G마켓, 11번가, 쿠팡, 네이버쇼핑 등 인터넷·모바일, 대형마트(이마트, 롯데마트)의 온라인몰, 퀵커머스, 해외직구 등)"
,  8) TV 홈쇼핑(TV 시청 후 홈쇼핑 온라인몰 구입 포함)
,  9) 편의점
," 10) 오프라인 독립된 로컬푸드 마켓(지역 특산물 판매점 포함, 매장 내 샵인샵 형태(통합계산) 제외)"
, 51) 반찬가게
, 52) 밀키트 전문점
, 53) 식자재마트
, 91) 구입하지 않음
A3_2,"  1) 동네 슈퍼마켓, 식자재마트(대기업 운영 제외)"
,"  2) 대기업에서 운영하는 슈퍼마켓(홈플러스 익스프레스, 롯데 슈퍼, 이마트에브리데이, No Brand 등)"
,"  3) 오프라인 대형마트(이마트, 하나로클럽/마트, 홈플러스, 롯데마트, 이마트 트레이더스, 코스트코 등)"
,  4) 전통시장(재래시장)
,  5) 백화점
,"  6) 친환경 식품 전문점(생협, 유기농 전문점, 초록마을, 한살림 등)"
,"  7) 온라인 쇼핑몰(G마켓, 11번가, 쿠팡, 네이버쇼핑 등 인터넷·모바일, 대형마트(이마트, 롯데마트)의 온라인몰, 퀵커머스, 해외직구 등)"
,  8) TV 홈쇼핑(TV 시청 후 홈쇼핑 온라인몰 구입 포함)
,  9) 편의점
," 10) 오프라인 독립된 로컬푸드 마켓(지역 특산물 판매점 포함, 매장 내 샵인샵 형태(통합계산) 제외)"
, 51) 반찬가게
, 52) 밀키트 전문점
, 53) 식자재마트
, 91) 구입하지 않음
A3_1_1,  1) 품질이 좋아서
,  2) 가격이 저렴해서
,  3) 거리가 가깝거나 교통ㆍ주차가 편해서
,  4) 배송이 편리해서
,  5) 다른 상품도 같이 구입할 수 있어서
,  6) 상품이 다양해서
,  7) 상품정보가 많아서
,  8) 장보기 쉽고 편리해서
A3_1_2,  1) 품질이 좋아서
,  2) 가격이 저렴해서
,  3) 거리가 가깝거나 교통ㆍ주차가 편해서
,  4) 배송이 편리해서
,  5) 다른 상품도 같이 구입할 수 있어서
,  6) 상품이 다양해서
,  7) 상품정보가 많아서
,  8) 장보기 쉽고 편리해서
A4_1,"  1) 육류가공품(소시지, 햄 및 베이컨, 육가공품 등)"
,"  2) 알가공품(삶은 계란, 삶은 메추리알 등)"
,"  3) 조미수산가공품(어육, 맛살, 수산물통조림 등)"
,"  4) 염건수산가공품(젓갈류, 김, 미역, 북어, 굴비 등)"
,"  5) 김치 및 절임류(배추김치, 장아찌, 단무지 등)"
