상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,중량 단위,묶음수량
동원참치 살코기 라이트스탠다드 85g x 20캔,참치/연어통조림,통조림,반찬/주재료,31900,5.0,2304,85.0,g,
동원 라이트스탠다드 참치 150gx10캔+리챔 200gx10캔,참치/연어통조림,통조림,반찬/주재료,49200,4.9,1467,150.0,"g, g",
동원참치 살코기 라이트스탠다드 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,31490,4.9,984,250.0,g,
동원참치 살코기 라이트스탠다드 85g x 10캔,참치/연어통조림,통조림,반찬/주재료,16600,4.9,905,85.0,g,
동원참치 살코기 라이트스탠다드 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,50000,4.9,899,150.0,g,
동원참치 살코기 라이트스탠다드 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,12300,4.9,845,150.0,g,
동원 리챔 200g x 10캔,햄/닭가슴살,통조림,반찬/주재료,27900,5.0,837,200.0,g,
동원참치 살코기 라이트스탠다드 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,18950,5.0,816,100.0,g,
동원참치 마일드참치 200g x 10캔,참치/연어통조림,통조림,반찬/주재료,26490,4.9,791,200.0,g,
동원참치 고추참치 85g x 20캔,참치/연어통조림,통조림,반찬/주재료,31900,5.0,741,85.0,g,
동원참치 살코기 라이트스탠다드 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,645,150.0,g,
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 20개,국/탕/찌개,HMR,간편식사,39600,4.9,637,460.0,g,
동원참치 고추참치 85g x 10캔,참치/연어통조림,통조림,반찬/주재료,17900,4.9,600,85.0,g,
동원참치 고추참치 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,19000,4.9,461,100.0,g,
동원 양반 전복죽 287g x 24개,죽/스프,즉석조리식품,간편식사,48900,4.9,425,287.0,g,
동원 자연산골뱅이 230g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,27400,5.0,419,230.0,g,
