product_name,months_since_launch_1,months_since_launch_2,months_since_launch_3,months_since_launch_4,months_since_launch_5,months_since_launch_6,months_since_launch_7,months_since_launch_8,months_since_launch_9,months_since_launch_10,months_since_launch_11,months_since_launch_12
덴마크 하이그릭요거트 400g,0,0,0,0,0,0,0,121200,130158,135008,140000,150000
동원맛참 고소참기름 135g,116050,116476,127618,125120,130035,135011,144903,151941,145000,148000,150000,155000
동원맛참 고소참기름 90g,168800,170156,186109,182175,190051,200017,215255,224701,215000,220000,225000,230000
동원맛참 매콤참기름 135g,116050,116476,127618,125120,130035,135011,144903,151941,145000,148000,150000,155000
동원맛참 매콤참기름 90g,168800,170156,186109,182175,190051,200017,215255,224701,215000,220000,225000,230000
동원참치액 순 500g,20000,21000,22000,23000,24000,27000,27560,27560,27000,28000,28000,29000
동원참치액 순 900g,13000,13500,14000,15000,15000,17280,16960,17490,17000,17000,17500,18000
동원참치액 진 500g,20000,21000,22000,23000,24000,27000,27560,27560,27000,28000,28000,29000
동원참치액 진 900g,13000,13500,14000,15000,15000,17280,16960,17490,17000,17000,17500,18000
리챔 오믈레햄 200g,0,0,0,0,0,0,0,0,0,0,106050,110617
리챔 오믈레햄 340g,0,0,0,0,0,0,0,0,0,0,63630,66370
소화가 잘되는 우유로 만든 바닐라라떼 250mL,0,0,0,0,0,0,0,28280,29229,30011,31001,32000
소화가 잘되는 우유로 만든 카페라떼 250mL,0,0,0,0,0,0,0,42420,43339,45016,46001,48000
프리미엄 동원참치액 500g,6000,6300,6500,6800,7000,7776,7738,7738,7500,7500,7600,7800
프리미엄 동원참치액 900g,2500,2600,2700,2800,2900,3240,3180,3286,3200,3200,3300,3400
