상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격
동원참치 살코기 라이트스탠다드 85g x 20캔,참치/연어통조림,통조림,반찬/주재료,31900,5.0,2304,85.0,20.0,1700.0,187.65
동원 라이트스탠다드 참치 150gx10캔+리챔 200gx10캔,참치/연어통조림,통조림,반찬/주재료,49200,4.9,1467,,,,
동원참치 살코기 라이트스탠다드 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,31490,4.9,984,250.0,10.0,2500.0,125.96
동원참치 살코기 라이트스탠다드 85g x 10캔,참치/연어통조림,통조림,반찬/주재료,16600,4.9,905,85.0,10.0,850.0,195.29
동원참치 살코기 라이트스탠다드 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,50000,4.9,899,150.0,20.0,3000.0,166.67
동원참치 살코기 라이트스탠다드 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,12300,4.9,845,150.0,5.0,750.0,164.0
동원 리챔 200g x 10캔,햄/닭가슴살,통조림,반찬/주재료,27900,5.0,837,200.0,10.0,2000.0,139.5
동원참치 살코기 라이트스탠다드 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,18950,5.0,816,100.0,10.0,1000.0,189.5
동원참치 마일드참치 200g x 10캔,참치/연어통조림,통조림,반찬/주재료,26490,4.9,791,200.0,10.0,2000.0,132.45
동원참치 고추참치 85g x 20캔,참치/연어통조림,통조림,반찬/주재료,31900,5.0,741,85.0,20.0,1700.0,187.65
동원참치 살코기 라이트스탠다드 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,645,150.0,10.0,1500.0,180.0
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 20개,국/탕/찌개,HMR,간편식사,39600,4.9,637,460.0,20.0,9200.0,43.04
동원참치 고추참치 85g x 10캔,참치/연어통조림,통조림,반찬/주재료,17900,4.9,600,85.0,10.0,850.0,210.59
동원참치 고추참치 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,19000,4.9,461,100.0,10.0,1000.0,190.0
동원 양반 전복죽 287g x 24개,죽/스프,즉석조리식품,간편식사,48900,4.9,425,287.0,24.0,6888.0,70.99
동원 자연산골뱅이 230g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,27400,5.0,419,230.0,5.0,1150.0,238.26
동원홈푸드 비비드키친 저당 굴소스 310g,기타양념,양념,조미료,5200,5.0,393,310.0,1.0,310.0,167.74
동원 자연산골뱅이 300g x 2캔,골뱅이/수산통조림,통조림,안주/반찬,13400,4.9,353,300.0,2.0,600.0,223.33
동원 리챔 200g x 12캔,햄/닭가슴살,가공육,반찬/주재료,33900,4.9,335,200.0,12.0,2400.0,141.25
동원 양반 밤단팥죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,327,285.0,24.0,6840.0,55.41
[4%적립금] 동원 자연산골뱅이 400g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,179000,5.0,320,400.0,24.0,9600.0,186.46
"동원참치 맛참 90g(고소참기름,매콤참기름) 각 10개, 총 20캔",참치/연어통조림,통조림,반찬/주재료,37000,4.9,317,90.0,20.0,1800.0,205.56
동원 리챔 200g,햄/닭가슴살,가공육,반찬/주재료,3000,5.0,317,200.0,1.0,200.0,150.0
동원참치 살코기 라이트스탠다드 250g x 5캔,참치/연어통조림,통조림,반찬/주재료,18900,4.9,316,250.0,5.0,1250.0,151.2
동원참치 고추참치 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,314,150.0,5.0,750.0,180.0
[4%적립금] 동원 자연산골뱅이 300g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,135000,5.0,302,300.0,24.0,7200.0,187.5
동원참치 살코기 라이트스탠다드 250g x 15캔,참치/연어통조림,통조림,반찬/주재료,47600,4.9,291,250.0,15.0,3750.0,126.93
동원참치 살코기 라이트스탠다드 250g,참치/연어통조림,통조림,반찬/주재료,3700,4.9,282,250.0,1.0,250.0,148.0
동원참치 고추참치 100g x 20캔,참치/연어통조림,통조림,반찬/주재료,36000,5.0,271,100.0,20.0,2000.0,180.0
동원 자연산꽁치 400g x 3캔,고등어/꽁치통조림,통조림,반찬,13000,4.9,271,400.0,3.0,1200.0,108.33
동원참치 매운고추참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,251,150.0,10.0,1500.0,180.0
동원참치 살코기 라이트스탠다드 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,250,150.0,1.0,150.0,186.67
동원참치 김치찌개용 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,245,150.0,10.0,1500.0,180.0
동원 리챔 200g x 6캔,햄/닭가슴살,가공육,반찬/주재료,17400,5.0,226,200.0,6.0,1200.0,145.0
동원 Dole 파인애플 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.9,226,432.0,1.0,432.0,64.81
동원참치 야채참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,216,150.0,10.0,1500.0,180.0
동원 양반 야채죽 287g x 24개,죽/스프,즉석조리식품,간편식사,37900,5.0,214,287.0,24.0,6888.0,55.02
동원 리챔 340g,햄/닭가슴살,가공육,반찬/주재료,4500,4.9,208,340.0,1.0,340.0,132.35
동원 양반 차돌 육개장 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.8,206,460.0,1.0,460.0,93.48
동원 양반 진국 사골곰탕 500g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,26000,4.9,205,500.0,20.0,10000.0,26.0
동원 Dole 후르츠칵테일 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.8,198,432.0,1.0,432.0,64.81
"동원참치 85g 2종(LS12,고추8) 총20캔+(증정)콘참치 2캔",참치/연어통조림,통조림,반찬/주재료,32000,5.0,192,,,,
동원참치 고추참치 100g,참치/연어통조림,통조림,반찬/주재료,2100,5.0,185,100.0,1.0,100.0,210.0
동원참치 살코기 라이트스탠다드 135gx10캔,참치/연어통조림,통조림,반찬/주재료,22500,4.9,184,135.0,10.0,1350.0,166.67
동원 새콤달콤 도톰쫄깃 삼각유부초밥 340g (4인용),아이반찬,반찬,반찬,4800,4.9,182,340.0,1.0,340.0,141.18
동원참치 살코기 라이트스탠다드 100g,참치/연어통조림,통조림,반찬/주재료,2100,5.0,180,100.0,1.0,100.0,210.0
동원 고등어 400g,고등어/꽁치통조림,통조림,반찬,3200,4.9,172,400.0,1.0,400.0,80.0
동원 리챔 340g x 12캔,햄/닭가슴살,가공육,반찬/주재료,49000,5.0,172,340.0,12.0,4080.0,120.1
동원참치 김치찌개용 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,5.0,169,250.0,10.0,2500.0,140.0
동원 양반 수라 도가니설렁탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,22900,4.9,168,460.0,5.0,2300.0,99.57
동원 양반 단호박죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,168,285.0,24.0,6840.0,55.41
동원 자연산꽁치 400g x 12캔,고등어/꽁치통조림,통조림,반찬,44400,5.0,167,400.0,12.0,4800.0,92.5
동원참치 DHA 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,4.9,165,250.0,10.0,2500.0,140.0
동원 자연산꽁치 400g x 5캔,고등어/꽁치통조림,통조림,반찬,20500,4.9,159,400.0,5.0,2000.0,102.5
동원 양반 수라 왕갈비탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4900,4.7,159,460.0,1.0,460.0,106.52
동원참치 고추참치 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,49200,4.9,158,150.0,20.0,3000.0,164.0
"동원참치 85g 2종(라이트스탠다드15,고추5) 총20캔+리챔 200gx2캔",참치/연어통조림,통조림,반찬/주재료,33900,5.0,155,,,,
"동원참치 85g 2종(라이트스탠다드15,고추5) 총20캔+리챔 200gx2캔",햄/닭가슴살,가공육,반찬/주재료,33900,5.0,155,,,,
동원 양반 진국 사골곰탕 500g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,1600,4.9,154,500.0,1.0,500.0,32.0
동원참치 고추참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,150,150.0,1.0,150.0,186.67
동원참치 살코기 라이트스탠다드 250g x 3캔,참치/연어통조림,통조림,반찬/주재료,10800,4.9,148,250.0,3.0,750.0,144.0
동원 양반 수라 한우사골곰탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,2300,4.9,147,460.0,1.0,460.0,50.0
동원 양반 단호박죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,4.9,147,420.0,10.0,4200.0,56.9
동원참치 고추참치 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,4.9,146,250.0,10.0,2500.0,140.0
[4%적립금] 동원 리챔 순닭가슴살 135g x 48개(1박스),햄/닭가슴살,가공육,반찬/주재료,75000,5.0,140,135.0,48.0,6480.0,115.74
동원 양반 전복죽 287g x 4개,죽/스프,즉석조리식품,간편식사,8600,4.9,136,287.0,4.0,1148.0,74.91
동원 고등어 400g x 12캔,고등어/꽁치통조림,통조림,반찬,26000,4.9,135,400.0,12.0,4800.0,54.17
동원 자연산골뱅이 400g,골뱅이/수산통조림,통조림,안주/반찬,9280,4.9,133,400.0,1.0,400.0,232.0
동원 양반 들깨닭죽 420g x 4개,죽/스프,즉석조리식품,간편식사,12900,4.9,129,420.0,4.0,1680.0,76.79
동원 양반 밤단팥죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5.0,129,420.0,10.0,4200.0,56.9
동원참치 살코기 라이트스탠다드 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,5300,5.0,126,100.0,3.0,300.0,176.67
[4%적립금] 동원 자연산꽁치 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,79000,5.0,126,400.0,24.0,9600.0,82.29
동원참치 살코기 라이트스탠다드 85g,참치/연어통조림,통조림,반찬/주재료,2200,4.9,125,85.0,1.0,85.0,258.82
[4%적립금] 동원 저스트 노슈가 스위트콘 340g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,29500,5.0,125,340.0,24.0,8160.0,36.15
동원 양반 밤단팥죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.9,123,420.0,4.0,1680.0,64.88
동원참치 고추참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.7,122,150.0,10.0,1500.0,180.0
동원 고등어 400g x 9캔,고등어/꽁치통조림,통조림,반찬,20000,5.0,122,400.0,9.0,3600.0,55.56
동원 복숭아 백도 400g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,26000,4.9,122,400.0,24.0,9600.0,27.08
[4%적립금] 동원 고등어 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,45900,5.0,121,400.0,24.0,9600.0,47.81
동원참치 살코기 라이트스탠다드 85g x 60캔(1박스),참치/연어통조림,통조림,반찬/주재료,91200,5.0,120,85.0,60.0,5100.0,178.82
동원 저스트 노슈가 스위트콘 340g,과일/옥수수/팥,통조림,간식/요리재료,1480,4.9,118,340.0,1.0,340.0,43.53
동원 자연산골뱅이 230g,골뱅이/수산통조림,통조림,안주/반찬,6480,4.9,117,230.0,1.0,230.0,281.74
동원 자연산꽁치 400g x 6캔,고등어/꽁치통조림,통조림,반찬,25800,5.0,116,400.0,6.0,2400.0,107.5
동원참치 고추참치 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,9400,5.0,115,85.0,5.0,425.0,221.18
동원 양반 쇠고기죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5.0,114,420.0,10.0,4200.0,56.9
동원 양반 수라 통다리 삼계탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15900,4.9,112,460.0,3.0,1380.0,115.22
[치킨에 좋은] 비비드키친 저칼로리 양념치킨소스 290g+스위트칠리소스 280g+숯불매콤소스 290g,기타양념,양념,조미료,10900,5.0,112,,,,
동원 양반 전복죽 287g,죽/스프,즉석조리식품,간편식사,2500,4.9,111,287.0,1.0,287.0,87.11
동원 양반 한우사골시래기국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,110,460.0,1.0,460.0,93.48
동원참치 살코기 라이트스탠다드 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,9200,5.0,107,85.0,5.0,425.0,216.47
동원참치 고추참치 85g,참치/연어통조림,통조림,반찬/주재료,2200,5.0,105,85.0,1.0,85.0,258.82
동원참치 DHA 150g x 48캔 (1박스),참치/연어통조림,통조림,반찬/주재료,103000,5.0,105,150.0,48.0,7200.0,143.06
동원 양반 쇠고기죽 287g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,105,287.0,4.0,1148.0,66.2
동원 양반 진국 소고기무국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,104,460.0,1.0,460.0,93.48
동원 양반 단호박죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.8,103,420.0,4.0,1680.0,64.88
동원 양반 밤단팥죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,103,285.0,4.0,1140.0,66.67
동원 고등어 400g x 6캔,고등어/꽁치통조림,통조림,반찬,13800,4.8,101,400.0,6.0,2400.0,57.5
