상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격
[4%적립금] 동원참치 라이트스탠다드 1.88kg x 6개(1박스),참치/연어통조림,통조림,반찬/주재료,99000,4.5,4,88,6,528000,1.88
[4%적립금] 동원 꽁치 1.8kg x 6개(1박스),고등어/꽁치통조림,통조림,반찬,92400,5,1,8,6,48000,19.25
[4%적립금] 동원 저스트 노슈가 파인애플 425gx48개(2박스),과일/옥수수/팥,통조림,간식/요리재료,95000,5,6,425,96,40800,23.28
[4%적립금] 동원 저스트 노슈가 후르츠칵테일 425gx48개(2박스),과일/옥수수/팥,통조림,간식/요리재료,95000,5,1,425,96,40800,23.28
동원 양반 진국 사골곰탕 500g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,26000,4.9,205,500,20,10000,26
동원 양반 진국 사골곰탕 500g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,4450,5,28,500,3,1500,29.67
동원 양반 진국 사골곰탕 500g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,1600,4.9,154,500,1,500,32
[4%적립금] 동원 빵가루 1kg x 8개(1박스),부침가루/튀김가루/빵가루,가루류,요리재료,28000,5,10,1,8,8000,35
[4%적립금] 동원 저스트 노슈가 스위트콘 340g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,29500,5,125,340,24,8160,36.15
동원 양반 진국 사골곰탕 300g (1인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,22900,4.9,40,300,20,6000,38.17
동원 양반 나주식 곰탕 460g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,38000,5,29,460,20,9200,41.3
[2%적립금] 동원 지중해 황도 복숭아 820g,과일/옥수수/팥,통조림,간식/요리재료,3400,4.2,6,820,1,820,41.46
동원 지중해 황도 복숭아 820g x 12캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,42000,4.9,38,820,12,9840,42.68
동원 지중해 황도 복숭아 820g x 6캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,21000,4.9,8,820,6,4920,42.68
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,식사,39600,4.9,637,460,20,9200,43.04
양반 나주식 곰탕 460g (1~2인분) x 10개,국/탕/찌개,즉석조리식품,간편식사,20000,4.9,7,460,10,4600,43.48
동원 저스트 노슈가 스위트콘 340g,과일/옥수수/팥,통조림,간식/요리재료,1480,4.9,118,340,1,340,43.53
동원 지중해 황도 복숭아 820g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,10800,5,15,820,3,2460,43.9
