상품명,3차 카테고리.1,식품유형,용도,추가방향,중량 수치,묶음수량,총중량,10g당 가격,Unnamed: 13,중량 수치.1,중량 단위,수량,수량 단위,가격,평점,리뷰 수,Unnamed: 21,Unnamed: 22,상품명.1
동원참치 살코기 라이트스탠다드 85g x 20캔,참치/연어통조림,통조림,,,,,,,,85,g,20,캔,31900,5,2304,,,동원참치 살코기 라이트스탠다드 85g x 20캔
동원 라이트스탠다드 참치 150gx10캔+리챔 200gx10캔,참치/연어통조림,통조림,,,,,,,,"150, 200","g, g","10, 10","캔, 캔",49200,4.9,1467,,,동원 라이트스탠다드 참치 150gx10캔+리챔 200gx10캔
동원참치 살코기 라이트스탠다드 250g x 10캔,참치/연어통조림,통조림,,,,,,,,250,g,10,캔,31490,4.9,984,,,동원참치 살코기 라이트스탠다드 150g x 5캔
동원참치 살코기 라이트스탠다드 85g x 10캔,참치/연어통조림,통조림,,,,,,,,85,g,10,캔,16600,4.9,905,,,동원참치 살코기 라이트스탠다드 150g x 20캔
동원참치 살코기 라이트스탠다드 150g x 20캔,참치/연어통조림,통조림,,,,,,,,150,g,20,캔,50000,4.9,899,,,동원참치 살코기 라이트스탠다드 85g x 10캔
동원참치 살코기 라이트스탠다드 150g x 5캔,참치/연어통조림,통조림,,,,,,,,150,g,5,캔,12300,4.9,845,,,동원참치 살코기 라이트스탠다드 100g x 10캔
동원 리챔 200g x 10캔,햄/닭가슴살,통조림,,,,,,,,200,g,10,캔,27900,5,837,,,동원참치 마일드참치 200g x 10캔
동원참치 살코기 라이트스탠다드 100g x 10캔,참치/연어통조림,통조림,,,,,,,,100,g,10,캔,18950,5,816,,,동원참치 살코기 라이트스탠다드 250g x 10캔
동원참치 마일드참치 200g x 10캔,참치/연어통조림,통조림,,,,,,,,200,g,10,캔,26490,4.9,791,,,동원참치 고추참치 85g x 20캔
동원참치 고추참치 85g x 20캔,참치/연어통조림,통조림,,,,,,,,85,g,20,캔,31900,5,741,,,동원참치 살코기 라이트스탠다드 150g x 10캔
동원참치 살코기 라이트스탠다드 150g x 10캔,참치/연어통조림,통조림,,,,,,,,150,g,10,캔,27000,4.9,645,,,동원참치 고추참치 85g x 10캔
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 20개,국/탕/찌개,HMR,,,,,,,,460,g,,,39600,4.9,637,,,동원참치 고추참치 100g x 10캔
동원참치 고추참치 85g x 10캔,참치/연어통조림,통조림,,,,,,,,85,g,10,캔,17900,4.9,600,,,동원참치 살코기 라이트스탠다드 250g x 5캔
동원참치 고추참치 100g x 10캔,참치/연어통조림,,,,,,,,,100,g,10,캔,19000,4.9,461,,,"동원참치 맛참 90g(고소참기름,매콤참기름) 각 10개, 총 20캔"
동원 양반 전복죽 287g x 24개,죽/스프,,,,,,,,,287,g,24,개,48900,4.9,425,,,동원참치 살코기 라이트스탠다드 250g
동원 자연산골뱅이 230g x 5캔,골뱅이/수산통조림,,,,,,,,,230,g,5,캔,27400,5,419,,,동원참치 살코기 라이트스탠다드 150g
동원홈푸드 비비드키친 저당 굴소스 310g,기타양념,,,,,,,,,310,g,,,5200,5,393,,,동원참치 김치찌개용 150g x 10캔
동원 자연산골뱅이 300g x 2캔,골뱅이/수산통조림,,,,,,,,,300,g,2,캔,13400,4.9,353,,,동원참치 매운고추참치 150g x 10캔
동원 리챔 200g x 12캔,햄/닭가슴살,,,,,,,,,200,g,12,캔,33900,4.9,335,,,동원참치 고추참치 100g x 20캔
동원 양반 밤단팥죽 285g x 24개,죽/스프,,,,,,,,,285,g,24,개,37900,4.9,327,,,동원참치 야채참치 150g x 10캔
[4%적립금] 동원 자연산골뱅이 400g x 24개(1박스),골뱅이/수산통조림,,,,,,,,,400,g,24,개,179000,5,320,,,"동원참치 85g 2종(LS12,고추8) 총20캔+(증정)콘참치 2캔"
"동원참치 맛참 90g(고소참기름,매콤참기름) 각 10개, 총 20캔",참치/연어통조림,,,,,,,,,90,g,,,37000,4.9,317,,,동원참치 고추참치 100g
동원 리챔 200g,햄/닭가슴살,,,,,,,,,200,g,,,3000,5,317,,,동원참치 살코기 라이트스탠다드 250g x 15캔
동원참치 살코기 라이트스탠다드 250g x 5캔,참치/연어통조림,,,,,,,,,250,g,5,캔,18900,4.9,316,,,동원참치 살코기 라이트스탠다드 100g
동원참치 고추참치 150g x 5캔,참치/연어통조림,,,,,,,,,150,g,5,캔,13500,5,314,,,동원참치 살코기 라이트스탠다드 135gx10캔
[4%적립금] 동원 자연산골뱅이 300g x 24개(1박스),골뱅이/수산통조림,,,,,,,,,300,g,24,개,135000,5,302,,,동원참치 김치찌개용 250g x 10캔
동원참치 살코기 라이트스탠다드 250g x 15캔,참치/연어통조림,,,,,,,,,250,g,15,캔,47600,4.9,291,,,동원참치 살코기 라이트스탠다드 250g x 3캔
동원참치 살코기 라이트스탠다드 250g,참치/연어통조림,,,,,,,,,250,g,,,3700,4.9,282,,,동원참치 고추참치 150g
동원참치 고추참치 100g x 20캔,참치/연어통조림,,,,,,,,,100,g,20,캔,36000,5,271,,,동원참치 DHA 250g x 10캔
