avgprc,corp_cd,corp_nm,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,grd_cd,grd_nm,hgprc,lwprc,pkg_cd,pkg_nm,plor_cd,plor_nm,sz_cd,sz_nm,totprc,trd_clcln_ymd,trd_se,unit_cd,unit_nm,unit_qty,unit_tot_qty,whsl_mrkt_cd,whsl_mrkt_nm
6600.000,35040202,정일청과㈜,10,엽경채류,05,상추,01,청상추,12,상,6600.000,6600.000,101,상자,500010,광주 북구 임동,100,.,33000.000,2018-10-11,경매,12,kg,4.000,20.000,350402,정읍
7000.000,35040202,정일청과㈜,10,엽경채류,05,상추,01,청상추,12,상,7000.000,7000.000,101,상자,560000,전라북도 전주시,100,.,105000.000,2018-10-11,경매,12,kg,4.000,60.000,350402,정읍
9000.000,35040202,정일청과㈜,10,엽경채류,05,상추,02,적상추,12,상,9000.000,9000.000,101,상자,500010,광주 북구 임동,100,.,45000.000,2018-10-11,경매,12,kg,4.000,20.000,350402,정읍
12000.000,35040202,정일청과㈜,10,엽경채류,05,상추,02,적상추,12,상,12000.000,12000.000,101,상자,579800,전북 부안군 부안읍,100,.,132000.000,2018-10-11,경매,12,kg,4.000,44.000,350402,정읍
8000.000,35040202,정일청과㈜,10,엽경채류,05,상추,02,적상추,12,상,8000.000,8000.000,101,상자,580010,전북 정읍시 수성동,100,.,24000.000,2018-10-11,경매,12,kg,4.000,12.000,350402,정읍
13750.000,35040202,정일청과㈜,10,엽경채류,05,상추,01,청상추,12,상,13750.000,13750.000,101,상자,500010,광주 북구 임동,100,.,41250.000,2018-10-11,자기계산,12,kg,4.000,12.000,350402,정읍
8840.000,35040202,정일청과㈜,10,엽경채류,05,상추,02,적상추,12,상,10580.000,8460.000,101,상자,500010,광주 북구 임동,100,.,150360.000,2018-10-11,자기계산,12,kg,4.000,64.000,350402,정읍
8000.000,35040202,정일청과㈜,10,엽경채류,05,상추,01,청상추,12,상,8000.000,8000.000,101,상자,560000,전라북도 전주시,100,.,80000.000,2018-10-11,정가수의,12,kg,4.000,40.000,350402,정읍
8420.000,35040201,정읍원협(공),10,엽경채류,05,상추,02,적상추,10,.,8420.000,8420.000,101,상자,906000,광주광역시 ,100,.,84200.000,2018-10-11,정가수의,12,kg,4.000,40.000,350402,정읍
13690.000,35040201,정읍원협(공),10,엽경채류,05,상추,05,포기찹,10,.,14740.000,12640.000,101,상자,906000,광주광역시 ,100,.,27380.000,2018-10-11,정가수의,12,kg,4.000,8.000,350402,정읍
6000.000,35040201,정읍원협(공),10,엽경채류,05,상추,01,청상추,11,특,6000.000,6000.000,101,상자,561302,전북 전주시 덕진구 송천동2가,100,.,30000.000,2018-10-11,정가수의,12,kg,4.000,20.000,350402,정읍
10000.000,35040201,정읍원협(공),10,엽경채류,05,상추,02,적상추,11,특,10000.000,10000.000,101,상자,561302,전북 전주시 덕진구 송천동2가,100,.,40000.000,2018-10-11,정가수의,12,kg,4.000,16.000,350402,정읍
5833.333,25000102,대전청과㈜,10,엽경채류,05,상추,01,청상추,10,.,9500.000,4000.000,101,상자,312-00,,100,.,193500.000,2018-10-12,경매,12,kg,4.000,100.000,250001,대전오정
7650.000,25000102,대전청과㈜,10,엽경채류,05,상추,01,청상추,10,.,10200.000,4600.000,101,상자,320-00,,100,.,1076600.000,2018-10-12,경매,12,kg,4.000,552.000,250001,대전오정
8546.667,25000102,대전청과㈜,10,엽경채류,05,상추,01,청상추,10,.,11000.000,4000.000,101,상자,373-00,,100,.,1155800.000,2018-10-12,경매,12,kg,4.000,524.000,250001,대전오정
5000.000,25000102,대전청과㈜,10,엽경채류,05,상추,01,청상추,10,.,5000.000,5000.000,101,상자,467-00,,100,.,65000.000,2018-10-12,경매,12,kg,4.000,52.000,250001,대전오정
8800.000,25000102,대전청과㈜,10,엽경채류,05,상추,02,적상추,10,.,8800.000,8800.000,101,상자,305-00,,100,.,114400.000,2018-10-12,경매,12,kg,4.000,52.000,250001,대전오정
14987.500,25000102,대전청과㈜,10,엽경채류,05,상추,02,적상추,10,.,18000.000,12000.000,101,상자,312-00,,100,.,1469300.000,2018-10-12,경매,12,kg,4.000,388.000,250001,대전오정
7100.000,25000102,대전청과㈜,10,엽경채류,05,상추,10,쫑상추,10,.,11200.000,3000.000,101,상자,312-00,,100,.,70200.000,2018-10-12,경매,12,kg,4.000,28.000,250001,대전오정
9650.000,25000102,대전청과㈜,10,엽경채류,05,상추,10,쫑상추,10,.,10000.000,9300.000,101,상자,373-00,,100,.,19300.000,2018-10-12,경매,12,kg,4.000,8.000,250001,대전오정
12200.000,25000102,대전청과㈜,10,엽경채류,05,상추,11,꽃적상추,10,.,12200.000,12200.000,101,상자,312-00,,100,.,146400.000,2018-10-12,경매,12,kg,4.000,48.000,250001,대전오정
11750.000,25000102,대전청과㈜,10,엽경채류,05,상추,11,꽃적상추,10,.,12000.000,11500.000,101,상자,320-00,,100,.,355000.000,2018-10-12,경매,12,kg,4.000,120.000,250001,대전오정
11300.000,25000102,대전청과㈜,10,엽경채류,05,상추,11,꽃적상추,10,.,11300.000,11300.000,101,상자,321-00,,100,.,361600.000,2018-10-12,경매,12,kg,4.000,128.000,250001,대전오정
9160.000,25000102,대전청과㈜,10,엽경채류,05,상추,11,꽃적상추,10,.,12000.000,5000.000,101,상자,323-00,,100,.,962600.000,2018-10-12,경매,12,kg,4.000,388.000,250001,대전오정
7033.333,25000102,대전청과㈜,10,엽경채류,05,상추,11,꽃적상추,10,.,8000.000,6300.000,101,상자,467-00,,100,.,360200.000,2018-10-12,경매,12,kg,4.000,212.000,250001,대전오정
12600.000,25000102,대전청과㈜,10,엽경채류,05,상추,11,꽃적상추,10,.,12600.000,12600.000,101,상자,930-00,,100,.,214200.000,2018-10-12,경매,12,kg,4.000,68.000,250001,대전오정
