날짜,품목명,도매시장,생산지,단량당 금액,거래량(kg)
2024-06-01,사과,서울강서,강원도 철원군,16566.666666666668,48
2024-06-01,사과,서울강서,강원도 평창군,6683.333333333333,994
2024-06-01,사과,서울강서,강원도 횡성군,8977.272727272728,309
2024-06-01,사과,서울강서,경기도 김포시,15500.0,16
2024-06-01,사과,서울강서,경기도 남양주시,23000.0,13
2024-06-01,사과,서울강서,경기도 시흥시,8000.0,10
2024-06-01,사과,서울강서,경기도 안성시,14368.421052631578,1037
2024-06-01,사과,서울강서,경기도 양주시,13397.727272727272,2750
2024-06-01,사과,서울강서,경기도 양평군,4442.105263157895,500
2024-06-01,사과,서울강서,경기도 여주군,7957.377049180328,1047
2024-06-01,사과,서울강서,경기도 연천군,16672.41379310345,647
2024-06-01,사과,서울강서,경기도 이천시,11000.0,11
2024-06-01,사과,서울강서,경기도 파주시,6200.0,200
2024-06-01,사과,서울강서,경기도 평택시,12810.12658227848,1838
2024-06-01,사과,서울강서,경기도 포천시,12832.432432432432,1137
2024-06-01,사과,서울강서,경상남도 거창군,37900.0,240
2024-06-01,사과,서울강서,경상남도 의령군,10285.714285714286,72
2024-06-01,사과,서울강서,경상남도 창원시 의창(성산)구,6546.666666666667,592
2024-06-01,사과,서울강서,경상남도 함안군,8035.294117647059,568
2024-06-01,사과,서울강서,경상북도 문경시,4300.0,2085
2024-06-01,사과,서울강서,경상북도 안동시,4752.380952380952,1268
2024-06-01,사과,서울강서,경상북도 영천시,42000.0,8
2024-06-01,사과,서울강서,경상북도 칠곡군,18583.333333333332,44
2024-06-01,사과,서울강서,광주 북구,7666.666666666667,50
2024-06-01,사과,서울강서,대구광역시 달성군,9973.684210526315,1338
2024-06-01,사과,서울강서,대전광역시 유성구,12383.333333333334,498
2024-06-01,사과,서울강서,서울특별시 도봉구,9000.0,2
2024-06-01,사과,서울강서,세종시 세종시,11168.75,1250
2024-06-01,사과,서울강서,인천광역시 강화군,20690.47619047619,264
2024-06-01,사과,서울강서,전라남도 곡성군,12500.0,30
2024-06-01,사과,서울강서,전라남도 구례군,8187.5,23
2024-06-01,사과,서울강서,전라남도 무안군,8900.0,60
2024-06-01,사과,서울강서,전라남도 보성군,19119.04761904762,550
2024-06-01,사과,서울강서,전라남도 영암군,11500.0,44
2024-06-01,사과,서울강서,전라남도 해남군,10700.0,245
2024-06-01,사과,서울강서,전라북도 고창군,10654.166666666666,813
2024-06-01,사과,서울강서,전라북도 완주군,6896.428571428572,2066
2024-06-01,사과,서울강서,전라북도 익산시,8000.0,35
2024-06-01,사과,서울강서,제주도 서귀포시,19421.052631578947,545
2024-06-01,사과,서울강서,제주도 제주시,15728.57142857143,974
2024-06-01,사과,서울강서,중국,4000.0,300
2024-06-01,사과,서울강서,충청남도 논산시,7717.241379310345,1212
2024-06-01,사과,서울강서,충청남도 당진시,11946.153846153846,1184
2024-06-01,사과,서울강서,충청남도 부여군,7000.0,1010
2024-06-01,사과,서울강서,충청남도 아산시,10846.875,1890
2024-06-01,사과,서울강서,충청남도 예산군,14850.0,263
2024-06-01,사과,서울강서,충청남도 천안시,14986.792452830188,1461
2024-06-01,사과,서울강서,충청남도 청양군,7950.0,454
2024-06-01,사과,서울강서,충청북도 음성군,11222.857142857143,1794
2024-06-01,사과,서울강서,충청북도 진천군,10131.578947368422,386
2024-06-01,사과,서울강서,충청북도 청주시,10664.70588235294,1226
2024-07-01,사과,서울강서,강원도 원주시,21750.0,100
2024-07-01,사과,서울강서,강원도 정선군,6466.666666666667,260
2024-07-01,사과,서울강서,강원도 철원군,16642.85714285714,58
2024-07-01,사과,서울강서,강원도 평창군,16936.969696969696,1340
2024-07-01,사과,서울강서,강원도 홍천군,36250.0,959
2024-07-01,사과,서울강서,강원도 횡성군,14092.0,1183
2024-07-01,사과,서울강서,경기도 김포시,7875.0,76
2024-07-01,사과,서울강서,경기도 안성시,24233.333333333332,695
2024-07-01,사과,서울강서,경기도 양주시,11366.666666666666,436
2024-07-01,사과,서울강서,경기도 양평군,9587.5,1738
2024-07-01,사과,서울강서,경기도 여주군,11688.636363636364,676
2024-07-01,사과,서울강서,경기도 연천군,18444.444444444445,834
2024-07-01,사과,서울강서,경기도 파주시,9500.0,243
2024-07-01,사과,서울강서,경기도 평택시,17397.727272727272,601
2024-07-01,사과,서울강서,경기도 포천시,40732.36842105263,1840
2024-07-01,사과,서울강서,경상남도 거창군,28000.0,288
2024-07-01,사과,서울강서,경상북도 김천시,48000.0,7
2024-07-01,사과,서울강서,경상북도 영주시,94300.0,72
2024-07-01,사과,서울강서,경상북도 의성군,39714.28571428572,160
2024-07-01,사과,서울강서,서울 강서구,23875.0,200
2024-07-01,사과,서울강서,서울특별시 송파구,12166.666666666666,162
2024-07-01,사과,서울강서,인천광역시 강화군,13144.117647058823,1374
2024-07-01,사과,서울강서,전라남도 고흥군,9425.0,70
2024-07-01,사과,서울강서,전라남도 광양시,9000.0,45
2024-07-01,사과,서울강서,전라남도 무안군,11987.5,1290
2024-07-01,사과,서울강서,전라남도 여수시,15166.666666666666,70
2024-07-01,사과,서울강서,전라남도 영암군,24000.0,53
2024-07-01,사과,서울강서,전라남도 함평군,12033.333333333334,1430
2024-07-01,사과,서울강서,전라북도 고창군,9766.364485981308,5865
2024-07-01,사과,서울강서,전라북도 부안군,4262.5,2148
2024-07-01,사과,서울강서,전라북도 익산시,8625.0,57
2024-07-01,사과,서울강서,제주도 제주시,19200.0,213
2024-07-01,사과,서울강서,충청남도 당진시,8666.666666666666,786
2024-07-01,사과,서울강서,충청남도 부여군,5333.333333333333,486
2024-07-01,사과,서울강서,충청남도 서산시,13750.0,300
2024-07-01,사과,서울강서,충청남도 아산시,10366.666666666666,111
2024-07-01,사과,서울강서,충청남도 예산군,9183.870967741936,1508
2024-07-01,사과,서울강서,충청남도 천안시,20586.666666666668,447
2024-07-01,사과,서울강서,충청남도 태안군,12522.222222222223,1420
2024-07-01,사과,서울강서,충청북도 음성군,6525.0,4399
2024-07-01,사과,서울강서,충청북도 진천군,6691.509433962264,6716
2024-07-01,사과,서울강서,충청북도 충주시,20600.0,101
2024-08-01,사과,서울강서,강원도 강릉시,4950.0,1930
2024-08-01,사과,서울강서,강원도 양구군,19296.153846153848,1117
2024-08-01,사과,서울강서,강원도 원주시,19200.0,392
2024-08-01,사과,서울강서,강원도 정선군,10375.0,500
2024-08-01,사과,서울강서,강원도 철원군,24400.0,69
2024-08-01,사과,서울강서,강원도 춘천시,29000.0,44
2024-08-01,사과,서울강서,강원도 평창군,22402.63157894737,2260
2024-08-01,사과,서울강서,강원도 홍천군,39694.267515923566,882
2024-08-01,사과,서울강서,강원도 화천군,31500.0,46
2024-08-01,사과,서울강서,강원도 횡성군,20166.666666666668,62
2024-08-01,사과,서울강서,경기도 고양시,11600.0,14
2024-08-01,사과,서울강서,경기도 안성시,15441.176470588236,254
2024-08-01,사과,서울강서,경기도 양평군,6315.789473684211,480
2024-08-01,사과,서울강서,경기도 여주군,11124.242424242424,601
2024-08-01,사과,서울강서,경기도 연천군,19115.384615384617,141
2024-08-01,사과,서울강서,경기도 용인시,10650.0,570
2024-08-01,사과,서울강서,경기도 이천시,15500.0,4
2024-08-01,사과,서울강서,경기도 평택시,16888.88888888889,83
2024-08-01,사과,서울강서,경기도 포천시,20152.380952380954,180
2024-08-01,사과,서울강서,경상남도 거창군,23291.666666666668,310
2024-08-01,사과,서울강서,경상남도 밀양시,20833.333333333332,150
2024-08-01,사과,서울강서,경상남도 의령군,18000.0,30
2024-08-01,사과,서울강서,경상남도 함양군,17320.0,720
