도매시장코드,도매시장명,,ITEM_CODES = {
110008,서울강서,,"#    ""양파"": ""1201"",  # 진성"
210001,부산엄궁,,"#     ""배추"": ""1001"",  # 용곤"
210005,부산국제수산,,"#     ""상추"": ""1005"",  # 동현"
210009,부산반여,,"#     ""사과"": ""0601""   # 재성"
220001,대구북부,,"#     ""무"" : '1101',"
230001,인천남촌,,"#     ""감자"" : '0501',"
230003,인천삼산,,"    # ""대파"" : ""1202"",     # 진성"
240001,광주각화,,"#     ""건고추"" : ""1207"",   # 용곤"
240004,광주서부,,"    ""마늘"" : ""1209"",  # 동현"
250001,대전오정,,"#     ""딸기"" : '0804',   # 재성"
250003,대전노은,,"    #  ""방울토마토"" : ""0806"","
310101,수원,,"#     ""오이"" : ""0901"","
310401,안양,,"#     ""양배추"" : ""1004"","
310901,안산,,"#     ""고구마"" : '0502',"
311201,구리,,    #  '배' : '0602'
320101,춘천,,}
320201,원주,,
320301,강릉,,
330101,청주,,
330201,충주,,
340101,천안,,
350101,전주,,
350301,익산,,
350402,정읍,,
360301,순천,,
370101,포항,,
370401,안동,,
371501,구미,,
380101,창원팔용,,
380201,울산,,
380303,창원내서,,
380401,진주,,
110001,서울가락,,
