iter	RMSE
0	312.9369741
1	307.1534906
2	301.3050868
3	296.3555844
4	291.7427296
5	287.2341543
6	283.1058457
7	279.2058209
8	275.4882165
9	271.7495517
10	268.9924006
11	265.6820356
12	262.9656041
13	260.4850256
14	258.2929109
15	255.8786538
16	253.8643528
17	252.1007976
18	249.9637815
19	248.2274264
20	246.6614081
21	245.3145836
22	244.027508
23	242.9524048
24	241.6594768
25	240.5447176
26	239.4675319
27	238.395748
28	237.5614677
29	236.7125932
30	235.7706831
31	234.9782618
32	233.8180849
33	232.7117404
34	231.8915158
35	231.0655837
36	230.3916349
37	229.8844636
38	228.8583305
39	228.3415093
40	227.8838192
41	227.143249
42	226.460068
43	225.8505319
44	225.2289093
45	224.8090768
46	224.4194739
47	224.0923413
48	223.7357685
49	223.4256697
50	222.9611658
51	222.560988
52	222.2273934
53	221.8300946
54	221.5121433
55	221.1155729
56	220.7758681
57	220.4136081
58	219.9747678
59	219.6498261
60	219.3664736
61	218.9969048
62	218.7212009
63	218.4576671
64	218.0720272
65	217.7994083
66	217.5276194
67	217.2671526
68	217.0629791
69	216.7735816
70	216.4543343
71	216.2369777
72	216.0087119
73	215.8172405
74	215.6179042
75	215.252893
76	215.1048002
77	214.9316301
78	214.5832814
79	214.2117375
80	214.0277925
81	213.8428135
82	213.4732091
83	213.2513587
84	213.065009
85	212.8893757
86	212.7230976
87	212.5464466
88	212.3680607
89	212.1831069
90	212.033254
91	211.8175967
92	211.633613
93	211.272614
94	211.0466548
95	210.7593994
96	210.6259448
97	210.4725934
98	210.1695389
99	209.9432168
100	209.7530318
101	209.4863259
102	209.3495051
103	209.057792
104	208.8421304
105	208.5411548
106	208.4163825
107	208.1351763
108	207.9221768
109	207.6939491
110	207.5290283
111	207.371744
112	207.2051143
113	207.0278874
114	206.7554264
115	206.5073438
116	206.3579519
117	206.1466177
118	205.9705659
119	205.7614801
120	205.623446
121	205.4702679
122	205.3042761
123	205.0562004
124	204.9111236
125	204.6757789
126	204.5788756
127	204.3266908
128	204.099348
129	203.8049862
130	203.6236144
131	203.5033034
132	203.2086124
133	203.0685401
134	202.9564933
135	202.8082222
136	202.6789788
137	202.539118
138	202.366366
139	202.3034883
140	202.0961164
141	201.9047374
142	201.73751
143	201.6298636
144	201.4443832
145	201.1994937
146	200.9770993
147	200.8137319
148	200.5434563
149	200.3864205
150	200.2430274
151	200.0195392
152	199.897084
153	199.802463
154	199.6550567
155	199.5166001
156	199.426058
157	199.2103765
158	199.0634955
159	198.9511415
160	198.8510059
161	198.7356651
162	198.5795873
163	198.4759756
164	198.3053241
165	198.1702042
166	198.0455287
167	197.9049329
168	197.8219212
169	197.7168936
170	197.4661818
171	197.3280791
172	197.15048
173	197.0200425
174	196.9191493
175	196.7650428
176	196.6567178
177	196.4596264
178	196.2629803
179	196.1324839
180	195.9868284
181	195.8757753
182	195.6813251
183	195.5040783
184	195.3581554
185	195.2044548
186	195.0770377
187	194.8485859
188	194.7468465
189	194.6189262
190	194.4361088
191	194.2622271
192	194.089727
193	193.9625237
194	193.8125646
195	193.6302352
196	193.4408148
197	193.3019949
198	193.2121965
199	193.1133141
200	193.0273363
201	192.904665
202	192.7704397
203	192.6503473
204	192.4721171
205	192.2570404
206	192.108263
207	191.9517257
208	191.7494295
209	191.5792112
210	191.4270868
211	191.2925638
212	191.1857684
213	191.0040684
214	190.8631524
215	190.7083952
216	190.5689329
217	190.4009056
218	190.2625431
219	190.1235937
220	190.0050083
221	189.886779
222	189.7657291
223	189.6697315
224	189.5441695
225	189.3800543
226	189.2299596
227	189.024239
228	188.8953303
229	188.6973911
230	188.5146506
231	188.3575611
232	188.2636835
233	188.1152717
234	187.9576646
235	187.831674
236	187.5797626
237	187.403425
238	187.2475169
239	187.0993944
240	186.9869788
241	186.8943344
242	186.7949805
243	186.6778597
244	186.4995455
245	186.3943542
246	186.3079839
247	186.1726085
248	186.0262894
249	185.9126292
250	185.7988679
251	185.6784169
252	185.5476205
253	185.4311314
254	185.2939449
