iter	Passed	Remaining
0	316	315877
1	490	244858
2	677	225091
3	851	212019
4	1036	206257
5	1246	206551
6	1416	200906
7	1597	198122
8	1782	196245
9	1962	194248
10	2135	192035
11	2305	189846
12	2483	188543
13	2675	188411
14	2851	187252
15	3046	187341
16	3230	186805
17	3398	185410
18	3627	187286
19	3815	186977
20	3987	185890
21	4153	184644
22	4320	183539
23	4495	182802
24	4663	181868
25	4839	181288
26	5024	181078
27	5200	180538
28	5371	179841
29	5533	178903
30	5708	178425
31	5881	177929
32	6053	177377
33	6225	176888
34	6385	176051
35	6548	175353
36	6716	174799
37	6886	174341
38	7093	174780
39	7294	175059
40	7482	175011
41	7669	174942
42	7854	174801
43	8035	174585
44	8209	174226
45	8372	173646
46	8540	173164
47	8707	172694
48	8876	172279
49	9048	171919
50	9224	171641
51	9397	171327
52	9567	170955
53	9739	170614
54	9924	170513
55	10091	170107
56	10255	169670
57	10430	169398
58	10604	169138
59	10772	168770
60	10951	168588
61	11142	168581
62	11316	168303
63	11486	167995
64	11649	167579
65	11821	167289
66	11991	166983
67	12154	166594
68	12309	166082
69	12476	165758
70	12654	165573
71	12811	165131
72	12996	165041
73	13168	164788
74	13331	164423
75	13498	164107
76	13659	163735
77	13831	163499
78	14010	163334
79	14170	162957
80	14332	162611
81	14487	162186
82	14660	161967
83	14822	161633
84	14990	161370
85	15153	161049
86	15319	160769
87	15483	160466
88	15663	160330
89	15832	160082
90	16000	159824
91	16166	159560
92	16324	159211
93	16494	158976
94	16671	158820
95	16841	158587
96	17007	158326
97	17178	158110
98	17335	157773
99	17503	157528
100	17682	157394
101	17879	157413
102	18055	157243
103	18219	156972
104	18380	156669
105	18546	156422
106	18719	156227
107	18888	156004
108	19069	155882
109	19243	155700
110	19409	155453
111	19571	155173
112	19741	154965
113	19913	154768
114	20176	155270
115	20337	154984
116	20505	154755
117	20683	154597
118	20853	154386
119	21019	154142
120	21181	153872
121	21344	153610
122	21507	153348
123	21676	153136
124	21842	152899
125	22017	152721
126	22190	152535
127	22356	152304
128	22527	152105
129	22708	151972
130	22883	151797
131	23054	151603
132	23223	151386
133	23389	151159
134	23556	150936
135	23733	150776
136	23905	150584
137	24062	150306
138	24224	150055
139	24389	149819
140	24574	149711
141	24737	149470
142	24916	149326
143	25080	149092
144	25258	148935
145	25423	148709
146	25585	148462
147	25749	148235
148	25924	148067
149	26095	147875
150	26262	147659
151	26435	147480
152	26595	147229
153	26770	147064
154	26943	146886
155	27112	146683
156	27272	146438
157	27441	146238
158	27613	146053
159	27771	145798
160	27945	145627
161	28111	145417
162	28293	145287
163	28448	145018
164	28621	144840
165	28793	144661
166	28963	144468
167	29127	144251
168	29287	144008
169	29448	143775
170	29635	143669
171	29811	143509
172	29982	143327
173	30141	143087
174	30306	142875
175	30471	142663
176	30634	142444
177	30806	142262
178	30985	142118
179	31151	141914
180	31322	141730
181	31493	141548
182	31677	141422
183	31856	141277
184	32024	141081
185	32187	140864
186	32350	140646
187	32527	140489
188	32753	140546
189	32930	140389
190	33108	140235
191	33281	140058
192	33443	139837
193	33615	139660
194	33797	139522
195	33971	139354
196	34146	139187
197	34324	139030
198	34477	138775
199	34643	138572
200	34808	138369
201	34979	138188
202	35148	137995
203	35330	137856
204	35509	137705
205	35681	137530
206	35848	137333
207	36021	137159
208	36197	136996
209	36366	136806
210	36529	136596
211	36698	136406
212	36865	136210
213	37037	136033
214	37201	135829
215	37362	135610
216	37531	135425
217	37700	135238
218	37870	135052
219	38047	134897
220	38207	134677
221	38369	134464
222	38552	134329
223	38729	134171
224	38906	134011
225	39082	133849
226	39258	133687
227	39424	133490
228	39584	133274
229	39768	133138
230	39946	132982
231	40123	132823
232	40284	132608
233	40447	132406
234	40616	132219
235	40786	132038
236	40959	131866
237	41126	131673
238	41294	131485
239	41461	131295
240	41629	131107
241	41792	130904
242	41966	130736
243	42132	130540
244	42297	130344
245	42476	130192
246	42641	129995
247	42811	129816
248	42980	129630
249	43147	129441
250	43327	129290
251	43484	129073
252	43649	128877
253	43825	128714
254	43998	128545
255	44169	128366
256	44337	128182
257	44572	128190
258	44746	128019
259	44924	127862
260	45083	127650
261	45252	127466
262	45428	127303
263	45595	127114
264	45764	126931
265	45950	126796
266	46127	126635
267	46301	126466
268	46464	126267
269	46640	126100
270	46805	125909
271	46986	125756
272	47169	125612
273	47331	125411
274	47493	125211
275	47660	125023
276	47828	124838
277	48008	124682
278	48176	124498
279	48338	124297
280	48510	124124
281	48686	123959
282	48864	123801
283	49042	123641
284	49211	123460
285	49384	123288
286	49542	123078
287	49729	122941
288	49905	122777
289	50076	122601
290	50244	122417
291	50405	122216
292	50571	122028
293	50753	121877
294	50936	121730
295	51106	121549
296	51279	121377
297	51450	121202
298	51639	121067
299	51823	120920
