avgprc,corp_cd,corp_nm,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,grd_cd,grd_nm,hgprc,lwprc,pkg_cd,pkg_nm,plor_cd,plor_nm,sz_cd,sz_nm,totprc,trd_clcln_ymd,trd_se,unit_cd,unit_nm,unit_qty,unit_tot_qty,whsl_mrkt_cd,whsl_mrkt_nm
5500.0,21000901,동부청과㈜,10,엽경채류,5,상추,99,기타상추,12,상,5500.0,5500.0,101,상자,910000,경기도 ,100,.,55000.0,2019-04-06,정가수의,12,kg,1.0,10.0,210009,부산반여
9000.0,21000103,항도청과㈜,10,엽경채류,5,상추,2,적상추,11,특,9000.0,9000.0,101,상자,902000,부산광역시 ,111,11개,1170000.0,2022-04-06,정가수의,12,kg,4.0,520.0,210001,부산엄궁
1600.0,25000101,농협대전(공),10,엽경채류,5,상추,2,적상추,10,.,1600.0,1600.0,101,상자,306010,대전 대덕구 오정동,100,.,11200.0,2018-06-21,정가수의,12,kg,4.0,28.0,250001,대전오정
9000.0,23000303,인천원협삼산(공),10,엽경채류,5,상추,4,적포기,11,특,9000.0,9000.0,101,상자,401000,인천광역시 인천 동구,101,"1개(내,뿌리)",45000.0,2022-09-22,경매,12,kg,4.0,20.0,230003,인천삼산
12000.0,11000102,농협가락(공),10,엽경채류,5,상추,1,청상추,11,특,12000.0,12000.0,101,상자,450600,경기 평택시 평택우체국사서함,100,.,120000.0,2018-10-03,정가수의,12,kg,4.0,40.0,110001,서울가락
11500.0,38020101,울산원협(공),10,엽경채류,5,상추,5,포기찹,12,상,11500.0,11500.0,101,상자,712900,경북 경산시 하양읍,100,.,276000.0,2022-01-15,경매,12,kg,2.0,48.0,380201,울산
8316.667,11000103,㈜중앙청과,10,엽경채류,5,상추,1,청상추,11,특,8800.0,7900.0,101,상자,138000,서울특별시 송파구,100,.,1828400.0,2019-04-18,경매,12,kg,4.0,880.0,110001,서울가락
11500.0,23000101,㈜대인농산,10,엽경채류,5,상추,1,청상추,11,특,13000.0,10000.0,101,상자,320850,충남 논산시 양촌면,100,.,448000.0,2022-09-08,경매,12,kg,4.0,172.0,230001,인천남촌
2000.0,38030302,창원원협(공),10,엽경채류,5,상추,2,적상추,19,등외,2500.0,1500.0,101,상자,618800,부산 강서구 강동동1∼1066,100,.,519500.0,2018-02-28,정가수의,12,kg,2.0,516.0,380303,창원내서
13100.0,38020101,울산원협(공),10,엽경채류,5,상추,2,적상추,12,상,13100.0,13100.0,101,상자,907000,울산광역시 ,100,.,117900.0,2022-10-17,정가수의,12,kg,2.0,18.0,380201,울산
50000.0,11000104,동화청과㈜,10,엽경채류,5,상추,6,흑적,11,특,50000.0,50000.0,101,상자,131000,서울특별시 중랑구,100,.,450000.0,2022-08-01,경매,12,kg,4.0,36.0,110001,서울가락
7500.0,11000105,한국청과㈜,10,엽경채류,5,상추,4,적포기,11,특,7500.0,7500.0,101,상자,314000,충청남도 공주시,100,.,172500.0,2019-02-28,경매,12,kg,4.0,92.0,110001,서울가락
22375.0,21000103,항도청과㈜,10,엽경채류,5,상추,2,적상추,11,특,24800.0,13000.0,101,상자,678000,경상남도 합천군,111,11개,5225500.0,2022-09-15,경매,12,kg,2.0,472.0,210001,부산엄궁
7000.0,35010102,전주청과물㈜,10,엽경채류,5,상추,1,청상추,11,특,7000.0,7000.0,101,상자,565800,전북 완주군 삼례읍,101,"1개(내,뿌리)",112000.0,2023-05-18,경매,12,kg,4.0,64.0,350101,전주
