날짜(YYYY-MM-DD),상품 중분류 이름,등급이름,총가격(원),단위총물량(kg),산지코드,산지이름,직팜산지코드,직팜산지이름
2025-02-06,양파,보통,1250000.0,1000.0,635700,경남 창녕군 창녕읍  창녕군청 ,1126,경상남도 창녕군
2019-08-07,양파,보통,15000.0,60.0,536000,전라남도 해남군,1098,전라남도 해남군
2018-07-19,양파,상,63000.0,180.0,678913,경남 합천군 용주면 성산리,1140,경상남도 합천군
2019-08-07,양파,특,87000.0,580.0,356000,충청남도 서산시,1035,충청남도 서산시
2024-12-14,양파,특,16425000.0,13500.0,525800,전남 함평군 함평읍,1090,전라남도 함평군
2023-09-14,양파,특,9090.0,6.0,200140,강원 춘천시 사농동,1001,강원도 춘천시
2020-04-21,양파,특,84400.0,80.0,636000,경상남도 의령군,1127,경상남도 의령군
2023-04-03,양파,하,561000.0,765.0,534000,전라남도 무안군,1097,전라남도 무안군
2020-05-16,양파,상,188100.0,260.0,500010,광주 북구 임동,1083,광주광역시
2018-01-10,양파,하,2040000.0,2400.0,630850,경남 마산시 내서읍,1125,경상남도 마산시
2018-06-15,양파,특,266400.0,480.0,546900,전남 보성군 벌교읍,1103,전라남도 보성군
2018-12-10,양파,특,1100000.0,1000.0,800000,중국,1170,수입산
2022-11-25,양파,특,13032500.0,8775.0,565805,전북 완주군 삼례읍 어전리,1107,전라북도 완주군
2018-04-11,양파,상,773050.0,5770.0,548000,전라남도 고흥군,1104,전라남도 고흥군
2024-05-27,양파,특,41999750.0,58812.0,534000,전라남도 무안군,1097,전라남도 무안군
2022-06-23,양파,특,48300.0,60.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-05-12,양파,보통,550000.0,1100.0,635000,경상남도 창녕군,1126,경상남도 창녕군
2024-05-28,양파,하,225000.0,900.0,513000,전라남도 영광군,1084,전라남도 영광군
2018-05-17,양파,보통,126000.0,360.0,534000,전라남도 무안군,1097,전라남도 무안군
2020-03-20,양파,특,704000.0,600.0,769800,경북 의성군 의성읍,1165,경상북도 의성군
2019-04-15,양파,상,2296800.0,2610.0,548000,전라남도 고흥군,1104,전라남도 고흥군
2022-08-16,양파,상,8902500.0,5625.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-12-15,양파,특,467500.0,1020.0,678000,경상남도 합천군,1140,경상남도 합천군
2020-11-26,양파,상,1189500.0,1300.0,529870,전남 장흥군 관산읍,1094,전라남도 장흥군
2020-07-01,양파,상,231000.0,420.0,635882,경남 창녕군 길곡면 오호리,1126,경상남도 창녕군
2023-02-06,양파,특,6645000.0,4500.0,678700,경남 합천군 합천읍 합천리 합천군청 ,1140,경상남도 합천군
2020-01-18,양파,특,1379400.0,1815.0,740920,경북 김천시 구성면,1154,경상북도 김천시
2022-06-09,양파,특,1034000.0,940.0,717000,경상북도 고령군,1150,경상북도 고령군
2022-03-22,양파,특,4000.0,10.0,730811,경북 구미시 고아읍 관심리,1153,경상북도 구미시
2020-06-08,양파,특,1981500.0,3801.6,711000,대구광역시 달성군,1146,대구광역시
2022-02-25,양파,특,901000.0,2040.0,530600,전남 목포시 목포우체국사서함,1095,전라남도 목포시
2024-10-18,양파,특,382500.0,255.0,565863,전북 완주군 고산면 성재리,1107,전라북도 완주군
2019-01-21,양파,특,6164500.0,7524.0,525000,전라남도 함평군,1090,전라남도 함평군
2019-03-13,양파,보통,562800.0,1680.0,678000,경상남도 합천군,1140,경상남도 합천군
2023-12-18,양파,특,221000.0,312.0,534000,전라남도 무안군,1097,전라남도 무안군
2021-05-08,양파,보통,935000.0,2040.0,534802,전남 무안군 무안읍 교촌리,1097,전라남도 무안군
2023-02-04,양파,보통,40000.0,120.0,540802,전남 순천시 승주읍 남강리,1100,전라남도 순천시
2019-05-04,양파,상,91500.0,244.0,550120,전남 여수시 남산동,1105,전라남도 여수시
2019-07-23,양파,특,114000.0,760.0,666941,경남 산청군 단성면 강누리,1135,경상남도 산청군
2024-03-18,양파,상,1960000.0,1050.0,745150,경북 문경시 공평동,1156,경상북도 문경시
2020-06-26,양파,특,135000.0,180.0,534850,전남 무안군 망운면,1097,전라남도 무안군
2024-10-16,양파,특,36900.0,30.0,730800,경북 구미시 선산읍,1153,경상북도 구미시
2021-01-06,양파,특,1120000.0,2100.0,536000,전라남도 해남군,1098,전라남도 해남군
2025-03-10,양파,특,720000.0,480.0,534000,전라남도 무안군,1097,전라남도 무안군
2018-09-20,양파,특,472800.0,1040.0,742600,경북 상주시 상주우체국사서함,1155,경상북도 상주시
2018-05-11,양파,특,524800.0,768.0,548000,전라남도 고흥군,1104,전라남도 고흥군
2024-04-02,양파,특,3600000.0,2250.0,534840,전남 무안군 현경면,1097,전라남도 무안군
2018-04-18,양파,보통,3100.0,20.0,534814,전남 무안군 몽탄면 당호리,1097,전라남도 무안군
2024-06-19,양파,특,4550.0,3.0,200140,강원 춘천시 사농동,1001,강원도 춘천시
2019-03-02,양파,특,2518400.0,4000.0,525805,전남 함평군 함평읍 만흥리,1090,전라남도 함평군
2023-11-21,양파,특,14512500.0,13500.0,535000,전라남도 신안군,1096,전라남도 신안군
2018-10-17,양파,특,1785000.0,3400.0,678820,경남 합천군 초계면,1140,경상남도 합천군
2023-01-10,양파,특,120750.0,75.0,138701,서울 송파구 가락1동  가락농수산물시장 ,1000,서울특별시
2021-07-21,양파,특,780000.0,1000.0,534814,전남 무안군 몽탄면 당호리,1097,전라남도 무안군
2021-08-17,양파,특,10797500.0,14184.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-07-13,양파,보통,1700000.0,2040.0,565000,전라북도 완주군,1107,전라북도 완주군
2020-09-23,양파,보통,8025000.0,7875.0,570130,전북 익산시 목천동,1111,전라북도 익산시
2023-12-23,양파,특,1015000.0,350.0,534000,전라남도 무안군,1097,전라남도 무안군
2024-07-29,양파,특,309000.0,600.0,730811,경북 구미시 고아읍 관심리,1153,경상북도 구미시
2019-09-17,양파,보통,117000.0,180.0,410340,경기 고양시 일산동구 산황동,1050,경기도 고양시
2018-09-21,양파,하,4411500.0,9180.0,536000,전라남도 해남군,1098,전라남도 해남군
2020-07-10,양파,특,1200000.0,2250.0,534000,전라남도 무안군,1097,전라남도 무안군
2024-05-30,양파,특,33330.0,15.0,200600,강원 춘천시 춘천우체국사서함,1001,강원도 춘천시
2021-01-20,양파,상,900000.0,500.0,503839,광주 남구 주월1동1180∼1190,1083,광주광역시
2022-10-17,양파,특,3570000.0,2250.0,525000,전라남도 함평군,1090,전라남도 함평군
2025-02-01,양파,특,1572500.0,1020.0,356000,충청남도 서산시,1035,충청남도 서산시
2022-05-31,양파,상,101500.0,140.0,636000,경상남도 의령군,1127,경상남도 의령군
2022-11-28,양파,상,238500.0,112.5,770010,경북 영천시 창구동,1166,경상북도 영천시
2020-11-06,양파,상,1351500.0,1049.4,717000,경상북도 고령군,1150,경상북도 고령군
2023-12-13,양파,보통,3272500.0,4080.0,676000,경상남도 함양군,1139,경상남도 함양군
2022-10-13,양파,특,3135000.0,2200.0,717800,경북 고령군 고령읍,1150,경상북도 고령군
2020-06-19,양파,보통,1591600.0,6920.0,635900,경남 창녕군 남지읍,1126,경상남도 창녕군
2023-07-22,양파,특,240000.0,150.0,534000,전라남도 무안군,1097,전라남도 무안군
2024-12-05,양파,하,1410000.0,1125.0,534000,전라남도 무안군,1097,전라남도 무안군
2019-08-23,양파,보통,75840.0,120.0,906000,광주광역시 ,1083,광주광역시
2020-11-20,양파,특,516000.0,450.0,769800,경북 의성군 의성읍,1165,경상북도 의성군
2023-04-14,양파,특,576000.0,435.0,556810,전남 여수시 소라면,1105,전라남도 여수시
2024-05-08,양파,특,3612600.0,3240.0,534870,전남 무안군 해제면,1097,전라남도 무안군
2023-06-08,양파,상,116000.0,100.0,345800,충남 청양군 청양읍,1032,충청남도 청양군
2024-11-21,양파,특,19520.0,9.2,200140,강원 춘천시 사농동,1001,강원도 춘천시
